Cell,sector_name,sector_id,focus_area,indicator_name,year,indicator_item,state_name,district_name,indicator_value,indicator_unit,source
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Jehanabad,198,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Kaimur (Bhabua),223,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Katihar,268,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Khagaria,164,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Kishanganj,113,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Lakhisarai,200,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Madhepura,284,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Madhubani,150,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Munger,352,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Muzaffarpur,360,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Nalanda,148,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Nawada,257,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Pashchim Champaran,498,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Patna,299,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Purnea,223,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Rohtas,293,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Saharsa,199,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Samastipur,463,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Saran,282,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Sheikhpura,70,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Sheohar,43,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Sitamarhi,131,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Siwan,201,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Supaul,344,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Bovine Milk Production,Bihar,Vaishali,267,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Araria,164.8,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Arwal,2.88,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Aurangabad,94.66,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Banka,144.15,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Begusarai,6.23,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Bhagalpur,99.11,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Bhojpur,24.48,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Buxar,35.42,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Darbhanga,64.72,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Purbi Champaran,144.68,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Gaya,42.84,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Gopalganj,110.02,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Jamui,13,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Jehanabad,50.54,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Kaimur (Bhabua),156.18,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Katihar,28.78,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Khagaria,120.76,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Kishanganj,16.73,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Lakhisarai,89.76,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Madhepura,122.01,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Madhubani,40.08,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Munger,19.5,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Muzaffarpur,28.14,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Nalanda,68.63,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Nawada,93.53,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Pashchim Champaran,17.38,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Patna,108.95,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Purnea,138.35,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Rohtas,62.37,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Saharsa,85.77,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Samastipur,12.38,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Saran,63.17,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Sheikhpura,13.3,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Sheohar,8.23,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Sitamarhi,17.39,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Siwan,64.82,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Supaul,121.44,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Indigenous Cattle Milk Production,Bihar,Vaishali,5.01,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Araria,7.81,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Arwal,30.26,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Aurangabad,34.99,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Banka,28.22,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Begusarai,294.73,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Bhagalpur,145.64,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Bhojpur,138.97,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Buxar,63.93,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Darbhanga,53.14,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Purbi Champaran,40.91,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Gaya,39.27,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Gopalganj,12.94,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Jamui,25.9,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Jehanabad,29.45,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Kaimur (Bhabua),10.52,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Katihar,176.25,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Khagaria,13.87,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Kishanganj,61.33,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Lakhisarai,18.39,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Madhepura,9.85,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Madhubani,74.02,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Munger,194.68,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Muzaffarpur,118.36,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Nalanda,18.79,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Nawada,61.83,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Pashchim Champaran,285.03,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Patna,40.22,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Purnea,24.33,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Rohtas,71.19,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Saharsa,21.28,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Samastipur,338.76,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Saran,127.62,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Sheikhpura,28.06,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Sheohar,12.26,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Sitamarhi,24.46,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
H12,Agriculture and Allied Sectors,1,Animal Husbandry,Milk Production,2017-18,District-wise Crossbred Cattle Milk Production,Bihar,Siwan,54.81,Thousand Million Tonnes,"Integrated Sample Survey Reports, Department of Animal Husbandry & Dairying, Government of Bihar"
